id,market_cap,total_volume,fully_diluted_valuation,market_cap_rank,volume_gate,up_depth_gate,down_depth_gate,spread_pct_gate,volume_binance,up_depth_binance,down_depth_binance,spread_pct_binance,volume_bybit,up_depth_bybit,down_depth_bybit,spread_pct_bybit,volume_okx,up_depth_okx,down_depth_okx,spread_pct_okx,volume_kucoin,up_depth_kucoin,down_depth_kucoin,spread_pct_kucoin,volume_coinbase,up_depth_coinbase,down_depth_coinbase,spread_pct_coinbase
lisk,132376918,3393305.0,,216,28981.356116792,4619.88132958918,4844.23779748611,0.815306,372406.8,25025.9614405114,19350.803949062,0.109409,,,,,25025.0638752,443.847986556027,5519.07076399017,0.317009,,,,,,,,
celsius-degree-token,122602925,7317904.0,200591386.0,226,,,,,,,,,297265.19,2994.74860414089,1376.33659842733,0.451389,20585088.8877,16753.4037023607,20001.1042415038,0.105263,,,,,,,,
tribe-2,122524680,174168.0,269275819.0,225,,,,,,,,,1104.49,114.870641499432,93.5846575720838,0.110497,,,,,,,,,,,,
bora,122371996,2412010.0,148478022.0,227,,,,,,,,,,,,,103227.6043,814.7946282447,467.461975948528,1.281025,,,,,,,,
ronin,120351511,1255374.0,454698134.0,230,62754.78855753,214.752539027633,776.48838346262,1.801997,,,,,,,,,137259.88465,3717.94173101168,3443.77568538252,0.197585,,,,,,,,
digibyte,118238739,2392611.0,149636407.0,234,,,,,104081519.0,33678.4325639724,75542.8994634824,0.140056,766071.12,1495.40716227154,1271.87391956544,0.447803,14183613.190837,5465.66107789609,9488.95904943677,0.027972,6430413.5775,10378.4658206703,17998.9778443803,0.139159,,,,
dao-maker,117169459,1326883.0,156685894.0,236,71281.620484679,2408.31443878128,2051.02157062364,0.458204,,,,,,,,,41779.347068,2128.52739356072,6074.36554578604,0.621118,41556.4284,2037.08279446573,12800.7183340147,0.425208,,,,
status,111848548,8189367.0,192177241.0,241,2381862.1349809,27682.6603092721,17503.2471951252,0.562193,31466060.0,34362.4448312853,43037.7719176251,0.140598,,,,,6926988.282297,22674.5180729031,24113.2403718373,0.246132,,,,,2013300.4,420.910126,468.645078,1.133546
uma,110777884,6802117.0,172238528.0,242,18987.960547197,12000.1786944419,12652.1578866556,0.200347,533314.7,48060.8024723194,42097.1731574202,0.067385,1220.237,326.984860076299,4395.23274581799,0.255445,76969.411043,14693.1027784693,18712.8389048096,0.133958,16183.2296,7017.98629706941,3684.69116577806,0.133869,72940.414,8955.843159,23081.36695499999,0.13289
terrausd,107701131,4976015.0,117365265.0,243,16566401.751525,32673.2181652186,29873.3448149234,0.198774,193077871.0,36442.3309083615,59573.1714976869,0.146593,1616640.41,799.208941691377,3018.26516085112,0.660066,,,,,16244634.2095,17567.6076634245,22460.920812666,0.08285,,,,
pundi-x-2,107062157,30167399.0,107062157.0,245,80920.39071079,8488.71897195559,7931.82568717979,0.420108,7460272.6,15997.8870213002,34429.7020274711,0.168715,,,,,,,,,103591.2894,2208.77875002197,7682.86918112219,0.45292,194183.07,6412.564975,6447.291042999998,0.524809
telcoin,106621343,643593.0,148305889.0,246,,,,,,,,,1455004.8,13.8060102413335,1739.21027300272,1.150982,,,,,170617155.1964,7222.1872658013,7726.00427287104,0.237539,,,,
safemoon-2,102341395,72793.0,183214961.0,255,179732749.81782,215.245429644228,6852.77034463022,0.327869,,,,,,,,,,,,,,,,,,,,
ssv-network,99659480,7724222.0,155795399.0,259,3282.42922699,19233.9357843785,22299.9610376623,0.109677,153944.944,56195.9501365717,57630.8416216446,0.071378,988.63,4368.83932599184,5733.9573976264,0.240586,58714.4958,19497.8107123284,26260.6412564089,0.070621,1553.768,2880.82059097241,6402.58601030623,0.21097,,,,
constellation-labs,94990326,313288.0,115445261.0,262,1269034.9116008,3326.48423505049,2711.43034327358,0.183318,,,,,,,,,,,,,4533430.0727,7128.93120169747,1336.9182696963,0.262187,,,,
deso,92949608,1855837.0,95387480.0,265,3157.04060689,601.504907123798,11699.9099004399,0.938354,,,,,,,,,,,,,,,,,8396.669,20033.40788,20225.8129,0.451977
bitkub-coin,92111589,480902.0,114037984.0,267,24349.01638698,407.77101668011,324.925310410316,0.537531,,,,,,,,,,,,,,,,,,,,
covalent,92070961,945431.0,148339698.0,269,864319.25252191,1041.91309238484,996.952406716108,0.476515,,,,,,,,,371015.705923,580.912436870766,498.329816826364,0.016793,235374.928,1415.24194069903,6607.5653363674,0.203252,,,,
amp-token,88145612,3500599.0,156174138.0,275,18737062.39202,8221.83363651424,9243.18711715273,0.063251,476696235.0,30770.3284897528,31135.7922208811,0.063492,,,,,,,,,23998114.8191,2382.46849415491,1736.75811042908,0.253165,145856907.0,36773.44304000001,48556.92861000002,0.625
milk-alliance,87086662,11413707.0,357503049.0,277,,,,,,,,,,,,,,,,,419583.8211,400.214287474855,511.331374939437,0.124092,,,,
everipedia,85161859,3416630.0,105058261.0,285,,,,,63119234.0,10290.1745730851,14807.4882750449,0.199203,,,,,2634720.667086,626.841472313936,2731.76885384038,0.811881,,,,,,,,
dexe,84466249,5395009.0,223325233.0,288,25824.542020046,1937.10279077369,6298.46429835498,0.47976,1030021.69,13886.6849355683,33948.4075890372,0.129646,,,,,,,,,109014.2789,7891.91955010372,4606.24679981757,0.249795,,,,
lukso-token,84312225,535216.0,541298673.0,290,5956.74635502,30.0001098569053,1394.12285177233,0.727369,,,,,,,,,,,,,,,,,,,,
vethor-token,81790652,1223528.0,,295,31918285.276175,2897.90569284682,10049.4701122969,0.612684,360741168.0,14810.0978448987,50692.8020220214,0.083822,,,,,,,,,,,,,66692149.0,9083.590595999998,27023.628516,0.166389
mass-vehicle-ledger,80669925,2149622.0,101886159.0,300,,,,,,,,,103142368.97,1528.80215994717,3435.55714267091,0.02907,,,,,,,,,,,,
prometeus,78692819,2036704.0,83004754.0,304,29034.911176176,5468.39394354835,8557.83060648451,0.295074,129676.92,21620.7784100741,102881.950550165,0.162262,,,,,,,,,23601.3766,3123.78880929436,2317.80205842827,0.231054,,,,
vega-protocol,78345291,506940.0,88449098.0,306,31196.19840756,334.553032874191,6172.21627077915,0.017299,,,,,11617.28,3819.73227644913,9998.94006834487,1.097145,,,,,79471.867,943.976690355048,4870.01591051318,0.283781,,,,
secret,73211911,1687669.0,77683482.0,317,149973.40510067,2878.51078440921,8413.01178479869,0.463954,2405494.1,16311.9720594162,26786.4359845132,0.214592,25898.59,2316.89177490424,1003.49907937732,0.107643,,,,,158707.6468,3228.4529078694,9585.14570920977,0.107296,,,,
sharering,69453171,75574.0,,324,,,,,,,,,,,,,,,,,22227888.2845,923.608033982773,1322.36489425096,0.37092,,,,
unibot,66155719,21655767.0,66155719.0,337,3456.06599002,942.717147077402,1706.04613094547,0.965513,,,,,,,,,,,,,,,,,,,,
bitrise-token,65868117,2030010.0,166464692.0,339,,,,,,,,,,,,,,,,,607494123936.7878,1215.71223348066,5595.06591276401,0.425791,,,,
wilder-world,65419186,459152.0,117875546.0,342,72879.825920566,2327.6244164017,3785.38460848457,0.042499,,,,,,,,,,,,,240452.8292,2827.4452167311,11112.6726684396,0.296485,,,,
ergo,65308306,326391.0,101964303.0,343,112867.78429041,3863.64049066363,1258.5846331865,0.133766,,,,,,,,,,,,,65278.1525,6747.58198881916,1927.75097575759,0.267482,,,,
smooth-love-potion,65232635,6228884.0,,344,41051249.075909,12119.6082851013,17252.3710693911,0.17039,692950602.0,26038.1595353869,23400.4118199561,0.063331,6783950.1,1647.9638912445,3865.42109603434,0.443319,103690352.592651,25525.856760703,24302.2024372807,0.188917,24006272.92456201,11979.4898805438,14782.3478771996,0.126183,,,,
constitutiondao,63994897,20755061.0,63994897.0,348,41044476.19008,29827.5346070938,30929.649814203,0.158378,416248443.1,124108.714130688,201582.300477954,0.079491,4565250.61,1840.66621529023,3178.72406306997,0.239425,358496963.634652,26798.9220274607,45185.862091267,0.095671,5298933.8673,7245.25927335319,8191.74167844277,0.158604,,,,
constitutiondao,63994897,20755061.0,63994897.0,348,41044476.19008,29827.5346070938,30929.649814203,0.158378,417949316.7,114917.708301909,157672.370958011,0.079554,4565250.61,1840.66621529023,3178.72406306997,0.239425,358496963.634652,26798.9220274607,45185.862091267,0.095671,5298933.8673,7245.25927335319,8191.74167844277,0.158604,,,,
syscoin,63832402,1415973.0,65589957.0,349,461298.18778735,8339.43693202105,12933.4347870702,0.572583,3778354.0,53470.1123184419,112989.93638809,0.113122,,,,,,,,,673492.396,1458.51741101176,7532.22651936528,0.112486,,,,
syscoin,63832402,1415973.0,65589957.0,349,461298.18778735,8339.43693202105,12933.4347870702,0.572583,3778354.0,53470.1123184419,112989.93638809,0.113122,,,,,,,,,673492.396,1458.51741101176,7532.22651936528,0.112486,,,,
pha,63581714,6182321.0,102603898.0,352,564606.8359451,2737.74384893933,9755.16134538897,0.387597,9243981.0,16950.4847888867,37721.9259357234,0.194932,,,,,624089.58126,1001.45118908884,8653.30980651164,0.283203,253831.9661,1957.70415632029,2917.05456345822,0.194175,,,,
bifrost,62516974,4385445.0,106939680.0,357,586710.14232755,31.0755281479705,544.838699348602,0.883197,,,,,,,,,,,,,1635214.8115,66.059060424608,165.038499104748,0.952381,,,,
spell-token,61251639,5110306.0,101848252.0,361,41146000.71214,13228.6555476415,12963.0631646751,0.122125,2248266915.0,108853.794864149,80192.2215218345,0.082186,12148890.8,1029.72859933746,2162.10042121347,0.465173,37643048.24536,8601.29841134702,10552.8310306474,0.142945,,,,,222876592.0,8312.962354700001,43439.44291160002,0.14277
marblex,60776527,2556799.0,616525028.0,363,33912.56690835,1565.10484662587,2606.09598359871,0.766096,,,,,87260.27,454.164783440789,1097.31535619873,0.165017,,,,,,,,,,,,
songbird,60629168,325410.0,74232570.0,364,9774913.8732435,595.248643330937,936.949478697729,0.479272,,,,,,,,,,,,,,,,,,,,
songbird,60629168,325410.0,74232570.0,364,9779089.8067788,590.534124903721,656.678494967712,0.479272,,,,,,,,,,,,,,,,,,,,
sun-token,59421406,14349667.0,122544277.0,368,220366589.53538,6386.01937751149,11311.0079110503,0.040483,40051248.0,7261.0477054997,11090.5532749918,0.162338,859407.04,874.475482268294,1367.98267376394,0.48646,21701158.349376,5176.04754746964,9016.64374307449,0.113599,13133309.9119,12293.119550877,22962.894443928,0.31688,,,,
everscale,58372940,161835.0,63390437.0,373,4481830.2064817,58212.1245055747,139825.549238547,1.066133,,,,,28545.67,17.9487006531737,123.236537500203,0.948905,,,,,373047.086,1162.16669706612,1055.62653997026,0.851621,,,,
verasity,57069606,11017827.0,614444615.0,380,461196765.76756,121155.270094546,163192.997561202,0.055472,,,,,11054949.04,3684.9494126503,3300.47655351491,0.270124,278981661.936969,16702.5134588943,48237.8726519621,0.108011,774392420.7395828,2772.0601506679,15103.3696048248,0.028764,,,,
bytom,55938956,237758.0,65238401.0,385,1062806.5988159,709.110899973121,1154.29195970537,0.628815,,,,,,,,,1255976.403759,1382.45118281169,2049.51869161773,0.49337,,,,,,,,
aergo,54137570,4653849.0,60828730.0,389,329409.10582031,5461.18127727872,3985.17069721882,0.880595,4764344.0,23333.0506929607,13653.2258989124,0.0815,,,,,644251.571191,1083.77651719484,5564.42720016241,0.810373,,,,,177449.8,7865.38565,7336.809249999999,0.405844
carry,53490131,9824638.0,53490131.0,396,4500205.0006225,7.00419377993236,516.636780228277,0.551541,,,,,,,,,,,,,,,,,,,,
saitama-inu,52969840,454438.0,118201999.0,398,15948584.001564,495.037938365896,1897.5712260876,0.031013,,,,,34413179.42,665.614292850953,143.473996588973,0.631419,18637101.58,1694.47200510611,2860.51050417502,1.442267,,,,,,,,
euler,52072071,432794.0,75751963.0,401,,,,,,,,,,,,,,,,,290.2125,185.658816766923,81.2091474088433,0.847458,,,,
paal-ai,52070912,694468.0,79992744.0,402,1527682.4563646,1611.55291668565,3365.41018170534,0.463479,,,,,,,,,,,,,,,,,,,,
gelato,51477356,95027.0,97831830.0,404,60687.83558306,2829.97837269324,3857.13588574082,0.429923,,,,,,,,,,,,,,,,,,,,
